timestamp,ax,ay,az,gx,gy,gz
2274097, 0.282471, 0.841431, -0.441528, 7.995607, 7.446291, 12.390141
2274117, 0.327515, 0.828979, -0.489258, 6.652834, 8.483887, 14.038090
2274137, 0.314453, 0.817017, -0.502686, 3.784181, 11.413578, 15.014652
2274157, 0.274292, 0.811523, -0.517578, -1.831055, 15.441898, 18.310547
2274177, 0.369995, 0.806519, -0.526855, -10.864258, 23.559578, 18.615723
2274197, 0.359741, 0.804565, -0.508667, -16.235352, 32.043457, 19.531250
2274217, 0.468872, 0.804077, -0.486206, -22.216805, 31.372078, 15.502934
2274237, 0.586304, 0.814087, -0.434937, -25.939949, 25.756844, 4.821777
2274257, 0.654663, 0.829712, -0.369629, -25.573738, 10.314941, -12.146000
2274277, 0.546875, 0.828491, -0.195190, -7.873537, -25.512703, -22.827156
2274297, 0.431152, 0.825928, -0.393555, 5.676271, -36.254883, -16.174316
2274317, 0.377319, 0.814941, -0.368896, 1.464844, -52.490250, -13.793949
2274337, 0.198975, 0.837158, -0.338989, 3.417970, -40.161133, 5.676271
2274357, 0.369995, 0.874634, -0.375000, 2.685547, -25.390633, 13.244633
2274377, 0.343750, 0.902100, -0.329956, -0.610352, -28.808601, 6.164553
2274397, 0.309692, 0.884766, -0.359009, 1.647950, -24.719246, 3.723145
2274417, 0.317139, 0.880493, -0.376953, 1.403809, -20.629883, 5.004883
2274437, 0.338989, 0.887695, -0.396851, -1.342773, -18.432617, 1.770020
2274457, 0.299805, 0.879150, -0.411499, -4.699707, -11.413578, 2.807618
2274477, 0.254761, 0.887939, -0.438232, -5.126953, -5.310059, -0.671387
2274497, 0.255493, 0.882568, -0.446045, -1.892090, -4.394531, -7.507326
2274517, 0.210205, 0.846069, -0.473145, -2.990724, 6.469728, -7.812502
2274537, 0.175781, 0.838257, -0.528076, -2.624512, 20.385742, -2.990724
2274557, 0.247437, 0.820557, -0.523438, -2.685547, 33.264160, 8.728027
2274577, 0.392090, 0.796509, -0.557983, -7.202150, 39.550781, 7.202150
2274597, 0.382935, 0.822266, -0.461304, -6.042482, 30.273445, 8.911133
2274617, 0.454834, 0.822266, -0.452393, -8.728027, 20.141602, 0.000000
2274637, 0.442017, 0.828613, -0.415527, -5.371094, 20.446777, 3.540040
2274657, 0.462891, 0.833374, -0.419922, -6.469728, 7.690432, -7.019045
2274677, 0.409546, 0.821167, -0.390137, -5.920412, 6.774904, -6.835939
2274697, 0.403320, 0.822754, -0.371094, -6.347658, 7.690432, -2.258301
2274717, 0.454590, 0.830933, -0.352051, -8.422852, 7.629396, 2.319336
2274737, 0.604736, 0.862915, -0.315308, -6.835939, -12.939457, -5.615236
2274757, 0.444824, 0.860474, -0.344360, -0.549316, -46.142593, -17.028809
2274777, 0.417480, 0.852295, -0.385620, 1.464844, -52.734390, -20.751953
2274797, 0.199585, 0.812866, -0.374146, -0.793457, -54.687515, -15.991215
2274817, 0.211792, 0.864624, -0.331543, -1.159668, -23.437508, 12.817387
2274837, 0.313110, 0.855347, -0.381104, -3.967286, -9.399414, 19.897461
2274857, 0.351440, 0.886475, -0.362671, -6.591799, -1.403809, 20.080566
2274877, 0.404785, 0.899902, -0.353149, -1.037598, -3.173829, 9.216309
2274897, 0.306763, 0.893066, -0.397217, 4.455566, -11.169437, 0.244141
2274917, 0.286011, 0.879883, -0.433960, -1.403809, -5.859377, -0.488281
2274937, 0.215454, 0.905518, -0.387207, -5.920412, 1.220703, 2.563477
2274957, 0.250488, 0.871338, -0.431274, -6.164553, 10.131836, 6.713869
2274977, 0.316650, 0.860352, -0.443115, -5.126953, 15.136723, 7.202150
2274997, 0.314331, 0.861450, -0.432007, -6.164553, 12.023930, 4.943848
2275017, 0.337524, 0.827515, -0.447876, -3.356935, 12.146000, 6.347658
2275037, 0.312622, 0.846313, -0.393677, -0.732422, 10.742188, 7.080080
2275057, 0.413208, 0.837402, -0.455811, -2.746582, 14.465336, 5.187988
2275077, 0.438721, 0.859253, -0.441284, -4.089355, 12.268070, 1.770020
2275097, 0.433228, 0.863037, -0.426147, -7.446291, 0.549316, -14.526371
2275117, 0.330688, 0.870117, -0.410278, -7.690432, 3.112794, -16.662598
2275137, 0.272339, 0.862183, -0.396851, -5.249023, 4.150391, -16.601563
2275157, 0.307495, 0.866333, -0.374268, -1.342773, 6.652834, -16.296387
2275177, 0.310303, 0.854126, -0.385376, 6.591799, 7.690432, -12.390141
2275197, 0.374390, 0.865967, -0.401123, 14.587406, -3.295899, -15.197758
2275217, 0.254028, 0.829224, -0.441528, 15.563969, -1.708985, -11.962894
2275237, 0.347046, 0.848633, -0.427979, 9.216309, 6.958010, -3.723145
